種別,放送局名,事業者名,本社所在地,系列,放送対象地域,コールサイン,周波数(kHz),出力(kW),送信所名,送信所所在地,親局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOHR,1287,50,札幌(江別),北海道江別市,親局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOHE,864,3,旭川,北海道旭川市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOTL,1494,1,名寄,北海道名寄市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOHS,1557,0.1,留萌,北海道留萌市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOTS,1368,1,稚内,北海道稚内市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,-,864,1,遠別,北海道天塩郡遠別町,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOHO,900,5,函館,北海道北斗市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOFM,1269,1,江差,北海道檜山郡江差町,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOFN,1098,0.1,北桧山,北海道久遠郡せたな町,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOQF,864,3,室蘭,北海道室蘭市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOTN,801,0.1,苫小牧,北海道苫小牧市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOHW,1269,5,帯広,北海道中川郡幕別町,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOQM,1449,5,網走,北海道網走市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOQN,801,0.1,北見,北海道北見市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,-,801,0.1,遠軽,北海道紋別郡遠軽町,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOQL,1404,5,釧路,北海道釧路市,中継局
AM放送,HBCラジオ,北海道放送株式会社,北海道札幌市,JRN/NRN,北海道,JOQS,801,0.1,根室,北海道根室市,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,JOWF,1440,50,札幌(江別),北海道江別市,親局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,-,1440,3,室蘭,北海道室蘭市,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,-,1440,1,苫小牧,北海道苫小牧市,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,JOWL,1197,3,旭川,北海道旭川市,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,-,1197,1,名寄,北海道名寄市,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,-,1197,0.1,留萌,北海道留萌市,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,-,1197,1,遠別,北海道天塩郡遠別町,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,-,1197,1,稚内,北海道稚内市,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,JOWN,639,5,函館,北海道函館市,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,-,882,1,江差,北海道檜山郡江差町,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,-,882,0.1,北檜山,北海道久遠郡せたな町,中継局
AM放送,STVラジオ,株式会社STVラジオ,北海道札幌市,NRN,北海道,JOWM,1071,5,帯広,北海道河東郡音更町,中継局
