種別,放送局名,事業者名,本社所在地,系列,放送対象地域,コールサイン,周波数(kHz),出力(kW),送信所名,送信所所在地,親局
AM放送,NHK札幌第1放送,NHK札幌放送局,-,NHK,北海道,JOIK,567,100,札幌,北海道江別市,親局
AM放送,NHK函館第1放送,NHK函館放送局,-,NHK,北海道,JOVK,675,5,函館,北海道函館市,親局
AM放送,NHK函館第1放送,NHK函館放送局,-,NHK,北海道,-,792,0.5,江差,北海道檜山郡江差町,中継局
AM放送,NHK函館第1放送,NHK函館放送局,-,NHK,北海道,-,1161,0.1,今金,北海道瀬棚郡今金町,中継局
AM放送,NHK函館第1放送,NHK函館放送局,-,NHK,北海道,-,1161,0.1,松前,北海道松前郡松前町,中継局
AM放送,NHK旭川第1放送,NHK旭川放送局,-,NHK,北海道,JOCG,621,3,旭川,北海道旭川市,親局
AM放送,NHK旭川第1放送,NHK旭川放送局,-,NHK,北海道,-,1161,0.1,留萌,北海道留萌市,中継局
AM放送,NHK旭川第1放送,NHK旭川放送局,-,NHK,北海道,-,927,1,稚内,北海道稚内市,中継局
AM放送,NHK旭川第1放送,NHK旭川放送局,-,NHK,北海道,-,837,1,名寄,北海道名寄市,中継局
AM放送,NHK旭川第1放送,NHK旭川放送局,-,NHK,北海道,-,1026,0.1,中頓別,北海道枝幸郡中頓別町,中継局
AM放送,NHK旭川第1放送,NHK旭川放送局,-,NHK,北海道,-,792,1,遠別,北海道天塩郡遠別町,中継局
AM放送,NHK帯広第1放送,NHK帯広放送局,-,NHK,北海道,JOOG,603,5,帯広,北海道河東郡音更町,親局
AM放送,NHK帯広第1放送,NHK帯広放送局,-,NHK,北海道,-,1584,0.1,広尾,北海道広尾郡広尾町,中継局
AM放送,NHK釧路第1放送,NHK釧路放送局,-,NHK,北海道,JOPG,585,10,釧路,北海道釧路市,親局
AM放送,NHK釧路第1放送,NHK釧路放送局,-,NHK,北海道,-,1584,0.1,根室,北海道根室市,中継局
AM放送,NHK釧路第1放送,NHK釧路放送局,-,NHK,北海道,-,1341,0.1,中標津,北海道標津郡中標津町,中継局
AM放送,NHK北見第1放送,NHK北見放送局,-,NHK,北海道,JOKP,1188,10,北見,北海道網走市,親局
AM放送,NHK北見第1放送,NHK北見放送局,-,NHK,北海道,-,1584,0.1,新北見,北海道北見市,中継局
AM放送,NHK北見第1放送,NHK北見放送局,-,NHK,北海道,-,1026,0.1,遠軽,北海道紋別郡遠軽町,中継局
AM放送,NHK室蘭第1放送,NHK室蘭放送局,-,NHK,北海道,JOIQ,945,3,室蘭,北海道室蘭市,親局
AM放送,NHK室蘭第1放送,NHK室蘭放送局,-,NHK,北海道,-,1341,0.1,浦河,北海道浦河郡浦河町,中継局
AM放送,NHK青森第1放送,NHK青森放送局,-,NHK,青森県,JOTG,963,5,青森,青森県青森市,親局
AM放送,NHK青森第1放送,NHK青森放送局,-,NHK,青森県,-,846,0.5,弘前,青森県弘前市,中継局
AM放送,NHK青森第1放送,NHK青森放送局,-,NHK,青森県,-,999,1,八戸,青森県八戸市,中継局
AM放送,NHK青森第1放送,NHK青森放送局,-,NHK,青森県,-,1584,0.1,深浦,青森県西津軽郡深浦町,中継局
AM放送,NHK青森第1放送,NHK青森放送局,-,NHK,青森県,-,1161,0.1,十和田,青森県十和田市,中継局
AM放送,NHK青森第1放送,NHK青森放送局,-,NHK,青森県,-,1026,0.1,田子,青森県三戸郡田子町,中継局
AM放送,NHK青森第1放送,NHK青森放送局,-,NHK,青森県,-,846,0.1,野辺地,青森県上北郡野辺地町,中継局
AM放送,NHK盛岡第1放送,NHK盛岡放送局,-,NHK,岩手県,JOQG,531,10,盛岡,岩手県紫波郡矢巾町,親局
AM放送,NHK盛岡第1放送,NHK盛岡放送局,-,NHK,岩手県,-,846,0.1,釜石,岩手県釜石市,中継局
AM放送,NHK盛岡第1放送,NHK盛岡放送局,-,NHK,岩手県,-,1026,0.1,宮古,岩手県宮古市,中継局
AM放送,NHK盛岡第1放送,NHK盛岡放送局,-,NHK,岩手県,-,576,0.5,大船渡,岩手県大船渡市,中継局
AM放送,NHK盛岡第1放送,NHK盛岡放送局,-,NHK,岩手県,-,1341,0.1,久慈,岩手県久慈市,中継局
AM放送,NHK盛岡第1放送,NHK盛岡放送局,-,NHK,岩手県,-,792,0.1,岩泉,岩手県下閉伊郡岩泉町,中継局
AM放送,NHK盛岡第1放送,NHK盛岡放送局,-,NHK,岩手県,-,1341,0.1,遠野,岩手県遠野市,中継局
AM放送,NHK盛岡第1放送,NHK盛岡放送局,-,NHK,岩手県,-,1323,1,山田,岩手県下閉伊郡山田町,中継局
AM放送,NHK盛岡第1放送,NHK盛岡放送局,-,NHK,岩手県,-,1224,0.1,田野畑,岩手県下閉伊郡田野畑村,中継局
AM放送,NHK仙台第1放送,NHK仙台放送局,-,NHK,宮城県,JOHK,891,20,仙台,宮城県仙台市,親局
AM放送,NHK仙台第1放送,NHK仙台放送局,-,NHK,宮城県,-,1161,0.1,気仙沼,宮城県気仙沼市,中継局
AM放送,NHK仙台第1放送,NHK仙台放送局,-,NHK,宮城県,-,1161,0.1,鳴子,宮城県大崎市,中継局
AM放送,NHK仙台第1放送,NHK仙台放送局,-,NHK,宮城県,-,981,0.1,志津川,宮城県本吉郡南三陸町,中継局
AM放送,NHK秋田第1放送,NHK秋田放送局,-,NHK,秋田県,JOUK,1503,10,秋田,秋田県秋田市,親局
AM放送,NHK秋田第1放送,NHK秋田放送局,-,NHK,秋田県,-,1161,0.1,大館,秋田県大館市,中継局
AM放送,NHK秋田第1放送,NHK秋田放送局,-,NHK,秋田県,-,1341,0.1,横手,秋田県横手市,中継局
AM放送,NHK秋田第1放送,NHK秋田放送局,-,NHK,秋田県,-,1341,0.1,花輪,秋田県鹿角市,中継局
AM放送,NHK秋田第1放送,NHK秋田放送局,-,NHK,秋田県,-,1584,0.1,湯沢,秋田県湯沢市,中継局
AM放送,NHK秋田第1放送,NHK秋田放送局,-,NHK,秋田県,-,1584,0.1,小坂,秋田県鹿角郡小坂町,中継局
AM放送,NHK秋田第1放送,NHK秋田放送局,-,NHK,秋田県,-,1026,0.1,本荘,秋田県由利本荘市,中継局
AM放送,NHK秋田第1放送,NHK秋田放送局,-,NHK,秋田県,-,1026,0.1,二ツ井,秋田県能代市,中継局
AM放送,NHK山形第1放送,NHK山形放送局,-,NHK,山形県,JOJG,540,5,山形,山形県山形市,親局
AM放送,NHK山形第1放送,NHK山形放送局,-,NHK,山形県,-,1368,1,鶴岡,山形県鶴岡市,中継局
AM放送,NHK山形第1放送,NHK山形放送局,-,NHK,山形県,-,1026,0.1,米沢,山形県米沢市,中継局
AM放送,NHK山形第1放送,NHK山形放送局,-,NHK,山形県,-,1341,0.1,新庄,山形県新庄市,中継局
AM放送,NHK山形第1放送,NHK山形放送局,-,NHK,山形県,-,1584,0.1,温海,山形県鶴岡市,中継局
AM放送,NHK山形第1放送,NHK山形放送局,-,NHK,山形県,-,1584,0.1,小国,山形県西置賜郡小国町,中継局
AM放送,NHK福島第1放送,NHK福島放送局,-,NHK,福島県,JOFP,1323,1,福島,福島県福島市,親局
AM放送,NHK福島第1放送,NHK福島放送局,-,NHK,福島県,-,846,5,郡山,福島県郡山市,中継局
AM放送,NHK福島第1放送,NHK福島放送局,-,NHK,福島県,-,1341,1,いわき,福島県いわき市,中継局
AM放送,NHK福島第1放送,NHK福島放送局,-,NHK,福島県,-,1161,0.1,会津若松,福島県会津若松市,中継局
AM放送,NHK福島第1放送,NHK福島放送局,-,NHK,福島県,-,1026,0.1,原町,福島県南相馬市,中継局
AM放送,NHK福島第1放送,NHK福島放送局,-,NHK,福島県,-,1584,0.1,只見,福島県南会津郡只見町,中継局
AM放送,NHK福島第1放送,NHK福島放送局,-,NHK,福島県,-,1341,0.1,田島,福島県南会津郡南会津町,中継局
AM放送,NHK福島第1放送,NHK福島放送局,-,NHK,福島県,-,1368,0.1,西会津,福島県耶麻郡西会津町,中継局
AM放送,NHK福島第1放送,NHK福島放送局,-,NHK,福島県,-,1161,0.1,双葉,福島県双葉郡富岡町,中継局
AM放送,NHK東京第1放送,NHK放送センター,-,NHK,関東広域圏,JOAK,594,300,東京,埼玉県久喜市,親局
AM放送,NHK新潟第1放送,NHK新潟放送局,-,NHK,新潟県,JOQK,837,10,新潟,新潟県新潟市,親局
AM放送,NHK新潟第1放送,NHK新潟放送局,-,NHK,新潟県,-,792,1,高田,新潟県上越市,中継局
AM放送,NHK新潟第1放送,NHK新潟放送局,-,NHK,新潟県,-,1161,0.1,津南,新潟県中魚沼郡津南町,中継局
AM放送,NHK新潟第1放送,NHK新潟放送局,-,NHK,新潟県,-,999,0.1,糸魚川,新潟県糸魚川市,中継局
AM放送,NHK新潟第1放送,NHK新潟放送局,-,NHK,新潟県,-,1323,0.1,六日町,新潟県南魚沼市,中継局
AM放送,NHK新潟第1放送,NHK新潟放送局,-,NHK,新潟県,-,981,0.1,柏崎,新潟県柏崎市,中継局
AM放送,NHK新潟第1放送,NHK新潟放送局,-,NHK,新潟県,-,1341,0.1,十日町,新潟県十日町市,中継局
AM放送,NHK新潟第1放送,NHK新潟放送局,-,NHK,新潟県,-,1368,0.1,小出,新潟県魚沼市,中継局
AM放送,NHK甲府第1放送,NHK甲府放送局,-,NHK,山梨県,JOKG,927,5,甲府,山梨県甲府市,親局
AM放送,NHK甲府第1放送,NHK甲府放送局,-,NHK,山梨県,-,1584,0.1,富士吉田,山梨県富士吉田市,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,JONK,819,5,長野,長野県長野市,親局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,540,1,松本,長野県松本市,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,621,1,飯田,長野県飯田市,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,1341,0.1,伊那,長野県伊那市,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,1026,0.1,小諸,長野県小諸市,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,1584,0.1,岡谷諏訪,長野県岡谷市,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,981,1,木曽福島,長野県木曽郡木曽町,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,1341,0.1,上田,長野県上田市,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,999,0.1,駒ヶ根,長野県駒ヶ根市,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,1026,0.1,白馬,長野県北安曇郡白馬村,中継局
AM放送,NHK長野第1放送,NHK長野放送局,-,NHK,長野県,-,1584,0.1,大桑,長野県木曽郡大桑村,中継局
AM放送,NHK富山第1放送,NHK富山放送局,-,NHK,富山県,JOIG,648,5,富山,富山県富山市,親局
AM放送,NHK金沢第1放送,NHK金沢放送局,-,NHK,石川県,JOJK,1224,10,金沢,石川県野々市市,親局
AM放送,NHK金沢第1放送,NHK金沢放送局,-,NHK,石川県,-,540,1,七尾,石川県七尾市,中継局
AM放送,NHK金沢第1放送,NHK金沢放送局,-,NHK,石川県,-,1584,0.1,輪島,石川県輪島市,中継局
AM放送,NHK金沢第1放送,NHK金沢放送局,-,NHK,石川県,-,1026,0.1,山中,石川県加賀市,中継局
AM放送,NHK福井第1放送,NHK福井放送局,-,NHK,福井県,JOFG,927,5,福井,福井県福井市,親局
AM放送,NHK福井第1放送,NHK福井放送局,-,NHK,福井県,-,1026,0.1,敦賀,福井県敦賀市,中継局
AM放送,NHK福井第1放送,NHK福井放送局,-,NHK,福井県,-,1161,0.1,小浜,福井県小浜市,中継局
AM放送,NHK福井第1放送,NHK福井放送局,-,NHK,福井県,-,1584,0.1,勝山,福井県勝山市,中継局
AM放送,NHK福井第1放送,NHK福井放送局,-,NHK,福井県,-,1584,0.1,三方,福井県三方上中郡若狭町,中継局
AM放送,NHK名古屋第1放送,NHK岐阜放送局,-,NHK,中京広域圏,-,792,1,高山,岐阜県高山市,中継局
AM放送,NHK名古屋第1放送,NHK岐阜放送局,-,NHK,中京広域圏,-,846,0.1,郡上八幡,岐阜県郡上市,中継局
AM放送,NHK名古屋第1放送,NHK岐阜放送局,-,NHK,中京広域圏,-,1341,0.1,萩原,岐阜県下呂市,中継局
AM放送,NHK名古屋第1放送,NHK岐阜放送局,-,NHK,中京広域圏,-,1161,0.1,白鳥,岐阜県郡上市,中継局
AM放送,NHK名古屋第1放送,NHK岐阜放送局,-,NHK,中京広域圏,-,1161,0.1,中津川,岐阜県中津川市,中継局
AM放送,NHK名古屋第1放送,NHK岐阜放送局,-,NHK,中京広域圏,-,1341,0.1,神岡,岐阜県飛騨市,中継局
